"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/wow","reactionsCount","sharesCount","timestamp","url"
,"692044954487197","video",,,,,,,,,,,,,,"100064256551876","NIAS News","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/444152820_840613411423870_2227677054895348915_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx954x960&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=FddyXKxGAxgQ7kNvwHnSMw6&_nc_oc=AdpFqEwW0fAGxz5HdPneF7vFbbJcA5I14ErLPBFVpARQZDaB6fg90xtcP1QTGTsyOXs&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=JsmhY-9pcZMDIxH9ARs7Kw&_nc_ss=7c2a8&oh=00_AQAVWPLPXfxO6nKjXVdzh9oA4-vd22lWuHQA3PnqUnX23A&oe=6A600806","https://www.facebook.com/NIASNews","0","692044954487197","Region-Northern Luzon: PANOORIN: | HAGUPIT NI OMPONG. Rumagasa ang baha sa isang bahagi ng Marcos Highway sa Baguio City kaninang mag aalas 11 ng umaga ito ay kasunod ng malakas na buhos ng ulan at hanging taglay ng Typhoon #OmpongPH, kasalukuyang masungit ang lagay ng panahon sa naturang lugar. RVG, NIAS News Philippines [Video via Jason Billones] #NewsALERT 🌧⛈☔️🌀",,,"2",,"2",,"4","1","1536988703000","https://www.facebook.com/NIASNews/videos/692044954487197/"
,,,,,,,,,,,,,,,,"100064555428364","Arellanong Bangus","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/308551376_454356286726215_5181148719839971168_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx749x750&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=2tnMEwd03cIQ7kNvwEY3jVX&_nc_oc=Adrd9kZYFMmZMXjIsx-wN6vxomMAseKoLyUxXOblVWczC3lYCcBaDaIKFryfUEMrneM&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=9Av_Tvx4Ckg6N2FYu0E2iQ&_nc_ss=7c2a8&oh=00_AQDLIOWsb5ofEdNFuC92NLUIZezpqjsmKuV19Vo5-hMzbw&oe=6A600064","https://www.facebook.com/AUBANGUS","0","716857995319284","sarap lumangoy sa baha",,"9","1",,"1",,"11","0","1537003906000","https://www.facebook.com/AUBANGUS/posts/pfbid026ZKLWFGoLHDG1gSeCofnohixVKg9NosJJaUrrxsfPQ6paDacvdzNCzPFuHxyAXmZl"
"No photo description available.","2289333934414880","photo","https://www.facebook.com/photo/?fbid=2289333934414880&set=gm.1966051873700311",,,,,,,,,,,,,"100000148873013","Mark Anthony Jalandoni","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/660896158_27287318140856447_6702426809024145248_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1080x1082&ctp=s24x24&_nc_cat=104&ccb=1-7&_nc_sid=e99d92&_nc_ohc=u6ZX66hfZQsQ7kNvwGvjQ5X&_nc_oc=AdqJAsilETK66WY35redRt0AdWZ7711rvPpjz_V5Q9sPae4icRFsvIsD3c3qdRZ0qFE&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=9Av_Tvx4Ckg6N2FYu0E2iQ&_nc_ss=7c2a8&oh=00_AQC1xU36_fcM1ZIdf31CLcUGFt6LMEk-pGEi7vSIrEwvWA&oe=6A5FE9F0","https://www.facebook.com/Incredible.marky","35","1966051873700311","MAULAN? BAHA? TRAFFIC?

No worries, get hired OVER THE PHONE!

Earn up to 35K! ￼❤
Here At Eperformax
The Site is Near Moa
BENEFITS:
1. 16K-20K Basic Pay (Depende sa Account)
2. P727.27 per day ang Training Allowance mo or P16,000 per month. (Take Note: Training Allowance palang yan for 22 days kasi fixed Weekends Off kapag Training).
3. Practical sila, Friend. Every other day ibibigay ang sahod mo para may pamasahe ka, food allowance and pang-asikaso ng requirements mo, while trainee ka palang.
4. May GCT din kayo or Language Training sa ibang company, wherein matututo ka talaga mag-English, Friend! Swear! Haha! And super enjoy! Kasi ang bait lahat ng Trainer nyo. Ang daming games, parang nag-aaral and naglalaro lang kayo sa loob ng training room. ￼😅￼💕
5. Upon employment: Nagkatrabaho kana, nagka-cellphone ka pa! ￼😍 (May ibibigay sila sayong Samsung J2 pero pwede mo i-upgrade ng iPhone, dadagdagan mo yung kulang syempre pero salary deduction beshy.) ￼😱
6. Kapag employed kana, makakakuha kana ng Performance Bonuses which is up to 80% of your basic pay. (Plus complete Government Benefits, HMO, 20% night differential, 13th month pay, 25% overtime rate.)
7. Double na rin ang MATA mo or parang Attendance Bonus lang din. (MATA=Meal and Transportation Allowance)
8. FREE WIFI! FREE WATER/COFFEE/JUICE! (All flavors for Juice)
9. May Egg Pod and Meditation Room sila, pwede ka dito matulog or magpahinga during your break time. (Pwede ring gawin mo ng Condo mo yung Company, may Shower Room na din, kaya pwedeng sa Egg Pod kana tumira para less pamasahe and upa ng bahay. Hahaha!) ￼😂
10. Super friendly lahat ng tao Friend, mula guard hanggang Management. Lahat approachable. Swear. (Unlike other companies, guard palang, attitude na. Very wrong.)

3 PROCESS ONLY:
1. Initial Interview
2. Behavioral Interview
3. Final Interview

Note: Lahat yan ay OVER THE PHONE lang, 15-30 minutes, hired kana!

PM the following details:
Complete name-
Contact number-
BPO exp / Work background-
Highest educational attainment-

I'll give you tips on how to pass the interviews!

God bless everyone! ￼",,,"12",,,,"12","1","1537093299000","https://www.facebook.com/groups/callcentergroupphilippines/permalink/1966051873700311/"
"No photo description available.","1179210448885920","photo","https://www.facebook.com/photo/?fbid=1179210448885920&set=a.640608058085845",,,,,,,,,,,,,"100064099687097","Roel's Frozen Products Distribution Cainta","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/459650535_932367272243254_4845609769005311550_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx750x761&ctp=p40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=l6hMfYB48LUQ7kNvwHcSLuL&_nc_oc=AdpijDHkOkTbBu4VYqv0OTpwLpVsi-fDQOqd9N-DIco2yfDhYTu6vse7jOIiiceTuV4&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=9Av_Tvx4Ckg6N2FYu0E2iQ&_nc_ss=7c2a8&oh=00_AQCh8ozNRMU-7_fT5g-eoQGALQOCXV21Z3RcV2AqOyw5wA&oe=6A5FE625","https://www.facebook.com/roelsfrozencainta","0","1179210475552584","Thank u mga suki.. ideliver nlng po sa inyo, sana hindi baha 😅",,,"6",,,,"6","1","1536972728000","https://www.facebook.com/roelsfrozencainta/posts/pfbid0VCZzCYrrQirRdKjkag5yXvYMRtd9ptjechHtPhjU2ANXRAUNWJz2HctoEUjAZmFSl"
"No photo description available.","2424486927569362","photo","https://www.facebook.com/photo.php?fbid=2424486927569362&set=gm.1782055961889599&type=3","No photo description available.","2424487030902685","photo","https://www.facebook.com/photo.php?fbid=2424487030902685&set=gm.1782055961889599&type=3",,,,,,,,,"100000242350079","Alvin Cinio","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/518329304_31007781252146548_7878923208802290791_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1070x1070&ctp=s24x24&_nc_cat=104&ccb=1-7&_nc_sid=1d2534&_nc_ohc=6wLIlenEKSIQ7kNvwE07XHg&_nc_oc=AdroGAW3uG26TFh4dtu0UzHLfPGRGnk0JG22MqC0TLhXfh0K1mW9tuUociAnuO32Xp4&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=9Av_Tvx4Ckg6N2FYu0E2iQ&_nc_ss=7c2a8&oh=00_AQD3ixmiNUH7ILxkTZJUOBdybZkdYnk50SmabBrBhLYUyw&oe=6A6004FA","https://www.facebook.com/alvincinio","4","1782055961889599","baha kasi haha",,"5","6",,,,"11","0","1537020934000","https://www.facebook.com/groups/unliahon/permalink/1782055961889599/"
"No photo description available.","2157220161271012","photo","https://www.facebook.com/photo/?fbid=2157220161271012&set=a.426201796185440",,,,,,,,,,,,,"100063868697641","SUP CALL","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/571750065_1304229871715957_2005174318389628224_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx832x836&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=UWmXJct_4EUQ7kNvwGNUoUG&_nc_oc=Adq96PiY6zCWD5MMGHh1CqiEC3K_pvuIm00zM2epUab4h-VmTKsqz-ZNW5jjf2EcT-g&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=9Av_Tvx4Ckg6N2FYu0E2iQ&_nc_ss=7c2a8&oh=00_AQBdm7X_8mtWiJm938A9YFv7iUtg9QDh0lZRs4ZRtu3Qkg&oe=6A600F5C","https://www.facebook.com/daddyjim88","0","2157220161271012","If there is one trait that sets the Pinoy above the rest, it is RESILIENCY. Para nga daw tayong BAMBOO na kahit anong lakas ng unos, muling bumabangon mula sa pagkakayuko. Kadalasan nga makikita mo ang Pinoy nakangiti pa rin habang naglalakad sa baha or nag rerepair ng bubong na nilipad ng bagyo.

DSAT? Wala yan! Bawi na lang sa next call. Yan ang Pinoy. Never say die ..",,,"1",,,,"1","1","1537093510000","https://www.facebook.com/photo.php?fbid=2157220161271012&set=a.426201796185440&type=3"
,,,,,,,,,,,,,,,,"1263324990","Twister Diator Gani","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/604511328_10232514240979540_8316742870934353826_n.jpg?stp=cp6_dst-jpg_tt6&cstp=mx2048x2048&ctp=s24x24&_nc_cat=108&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nQG4PQsHcLsQ7kNvwFePPg6&_nc_oc=AdpGMZ-Xu9pmREGR-IbdEqxe8kpeCmQHAMMjvU_QqssnGsc0vvj4mTJ7j4OpBlx7lDY&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=9Av_Tvx4Ckg6N2FYu0E2iQ&_nc_ss=7c2a8&oh=00_AQBzc8YcQJ_sSYiY9NJMIw7Atol54aZ2G5lLIgUZ6mGNOw&oe=6A5FDF54","https://www.facebook.com/twister1946","0","2400987686594488","Magandang gabi po. Clear po ba ang papunta sa timberland? Wala po bang baha? Salamat",,,,,,,"0","0","1537012198000","https://www.facebook.com/groups/bikemarketph/permalink/2400987686594488/"
,,,,,,,,,,,,,,,,"100004057785361","Rom A Ramos","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/440891057_3353848958093664_6912800734290440254_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx612x622&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=sqvfouqsBOUQ7kNvwF9iWDF&_nc_oc=AdqslukKARgNGOu8ZCHi7Kp1Vl0V68nqSaa86_LDZJNEZt_CO_OGQvutA5sPJ9cUj50&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=eHJmCtlgHsiotKzVBwdP4g&_nc_ss=7c2a8&oh=00_AQBPTa6-xO86BCvgyCR69m6AFirjT9OGd15td9J4P8lw5A&oe=6A600938","https://www.facebook.com/rramos78","9","2018162065142155","Ask lng po mga sir, May mdaanan pb baha papunta bulacan from manila ?",,,"2",,,,"2","0","1537091281000","https://www.facebook.com/groups/RACER.volunteer/permalink/2018162065142155/"
,,,,,,,,,,,,,,,,"100002082003734","Danny Vie Consarba Paulin","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/733548398_27370125952640103_3174239075639636_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx700x700&ctp=s24x24&_nc_cat=106&ccb=1-7&_nc_sid=1d2534&_nc_ohc=XhO-GojalCoQ7kNvwEB-SC1&_nc_oc=AdpJcpUbH0ctHQP-Kt3KExwKd6wv-tJY2vKYChr-cCcS_XWAqx2yAnVPFkb-_EFimN0&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=eHJmCtlgHsiotKzVBwdP4g&_nc_ss=7c2a8&oh=00_AQCnZaaiRevkaCtkG1Ip9a5sRgcMgmdI68fK2MSdXEVNZA&oe=6A5FF6FD","https://www.facebook.com/dannyvie.consarbapaulin","6","1966275897011242","MAULAN? BAHA? TRAFFIC?

No worries, get hired OVER THE PHONE!

Earn up to 35K! ❤

BENEFITS:
1. 16K-20K Basic Pay (Depende sa Account)
2. P727.27 per day ang Training Allowance mo or P16,000 per month. (Take Note: Training Allowance palang yan for 22 days kasi fixed Weekends Off kapag Training).
3. Practical sila, Friend. Every other day ibibigay ang sahod mo para may pamasahe ka, food allowance and pang-asikaso ng requirements mo, while trainee ka palang.
4. May GCT din kayo or Language Training sa ibang company, wherein matututo ka talaga mag-English, Friend! Swear! Haha! And super enjoy! Kasi ang bait lahat ng Trainer nyo. Ang daming games, parang nag-aaral and naglalaro lang kayo sa loob ng training room. 😅💕
5. Upon employment: Nagkatrabaho kana, nagka-cellphone ka pa! 😍 (May ibibigay sila sayong Samsung J2 pero pwede mo i-upgrade ng iPhone, dadagdagan mo yung kulang syempre pero salary deduction beshy.) 😱
6. Kapag employed kana, makakakuha kana ng Performance Bonuses which is up to 80% of your basic pay. (Plus complete Government Benefits, HMO, 20% night differential, 13th month pay, 25% overtime rate.)
7. Double na rin ang MATA mo or parang Attendance Bonus lang din. (MATA=Meal and Transportation Allowance)
8. FREE WIFI! FREE WATER/COFFEE/JUICE! (All flavors for Juice)
9. May Egg Pod and Meditation Room sila, pwede ka dito matulog or magpahinga during your break time. (Pwede ring gawin mo ng Condo mo yung Company, may Shower Room na din, kaya pwedeng sa Egg Pod kana tumira para less pamasahe and upa ng bahay. Hahaha!) 😂
10. Super friendly lahat ng tao Friend, mula guard hanggang Management. Lahat approachable. Swear. (Unlike other companies, guard palang, attitude na. Very wrong.)

3 PROCESS ONLY:
1. Initial Interview
2. Behavioral Interview
3. Final Interview

Note: Lahat yan ay OVER THE PHONE lang, 15-30 minutes, hired kana!

Send me your:
NAME/ CONTACT NUMBER 

Need some tips? Message me😉

Company Name: EPERFORMAX Contact Centers and BPO
located at MOA complex Pasay City",,,"2",,,,"2","0","1537129981000","https://www.facebook.com/groups/callcentergroupphilippines/permalink/1966275897011242/"
,,,,,,,,,,,,,,,,"100000625264126","Jayson Bulaong","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/729160709_28048612018076265_5869014136138890823_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2023x2048&ctp=s24x24&_nc_cat=103&ccb=1-7&_nc_sid=1d2534&_nc_ohc=Ca-cspXUf0wQ7kNvwF13gtC&_nc_oc=Adq0LSG9g7c5GFMWCJctYKyz25kOpLJwwTrs88Nbs4NdVgm6S6UWndtg-D9m3hIH6LY&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=eHJmCtlgHsiotKzVBwdP4g&_nc_ss=7c2a8&oh=00_AQDotxSRPgN5CPtfqIS2BhRlZNj6wMqiSdddL-5pnqj4Vg&oe=6A5FEB21","https://www.facebook.com/SoAwesone","0","1964409143625619","MAULAN? BAHA? TRAFFIC?

No worries, get hired OVER THE PHONE!

Earn up to 35K! ￼❤
Here At Eperformax
The Site is Near Moa
BENEFITS:
1. 16K-20K Basic Pay (Depende sa Account)
2. P727.27 per day ang Training Allowance mo or P16,000 per month. (Take Note: Training Allowance palang yan for 22 days kasi fixed Weekends Off kapag Training).
3. Practical sila, Friend. Every other day ibibigay ang sahod mo para may pamasahe ka, food allowance and pang-asikaso ng requirements mo, while trainee ka palang.
4. May GCT din kayo or Language Training sa ibang company, wherein matututo ka talaga mag-English, Friend! Swear! Haha! And super enjoy! Kasi ang bait lahat ng Trainer nyo. Ang daming games, parang nag-aaral and naglalaro lang kayo sa loob ng training room. ￼😅￼💕
5. Upon employment: Nagkatrabaho kana, nagka-cellphone ka pa! ￼😍 (May ibibigay sila sayong Samsung J2 pero pwede mo i-upgrade ng iPhone, dadagdagan mo yung kulang syempre pero salary deduction beshy.) ￼😱
6. Kapag employed kana, makakakuha kana ng Performance Bonuses which is up to 80% of your basic pay. (Plus complete Government Benefits, HMO, 20% night differential, 13th month pay, 25% overtime rate.)
7. Double na rin ang MATA mo or parang Attendance Bonus lang din. (MATA=Meal and Transportation Allowance)
8. FREE WIFI! FREE WATER/COFFEE/JUICE! (All flavors for Juice)
9. May Egg Pod and Meditation Room sila, pwede ka dito matulog or magpahinga during your break time. (Pwede ring gawin mo ng Condo mo yung Company, may Shower Room na din, kaya pwedeng sa Egg Pod kana tumira para less pamasahe and upa ng bahay. Hahaha!) ￼😂
10. Super friendly lahat ng tao Friend, mula guard hanggang Management. Lahat approachable. Swear. (Unlike other companies, guard palang, attitude na. Very wrong.)

3 PROCESS ONLY:
1. Initial Interview
2. Behavioral Interview
3. Final Interview

Note: Lahat yan ay OVER THE PHONE lang, 15-30 minutes, hired kana!

PM the following details:
Complete name-
Contact number-
BPO exp / Work background-
Highest educational attainment-

I'll give you tips on how to pass the interviews!

God bless everyone! ￼",,,,,,,"0","0","1536994526000","https://www.facebook.com/groups/1379299542136585/permalink/1964409143625619/"
,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=jjMlUL_Ip04Q7kNvwHKD14F&_nc_oc=AdqXwH5qIdp2bmixZjwHqWkL2_VeAmZ-AazAX7aaSeI2mOlqt0wTsbUu5L2vhGk1Kzg&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=eHJmCtlgHsiotKzVBwdP4g&_nc_ss=7c2a8&oh=00_AQC5Z8X_-lslPJEMAFCuAoAAIasfOVL3ob6WK29Q1eRGMA&oe=6A600EDC","https://www.facebook.com/abscbnNEWS","2","2017471225211239","",,,"11",,"10",,"21","8","1536998927000","https://www.facebook.com/groups/RACER.volunteer/permalink/2017471225211239/"
,,,,,,,,,,,,,,,,"100068403693887","Hybrid Kamote","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/309410226_411876924435761_2318746114400716815_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx452x456&ctp=p40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=rWoqrtTTAjYQ7kNvwENToE9&_nc_oc=AdqCnvcEPhdHo6kpCc7ZobDCzbVpGcC-J2-iUBwSEZJRXxQo_dhSuVA7Dgjdy3Whstw&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=eHJmCtlgHsiotKzVBwdP4g&_nc_ss=7c2a8&oh=00_AQCCVihDFRJd-7uYu4dNMEZL1gndGpCtjSROtkJVSs4-Cw&oe=6A5FE18C","https://www.facebook.com/hybridkamote17","1","1793272740768700","",,"7","1",,,,"8","0","1536993785000","https://www.facebook.com/groups/1459344990828145/permalink/1793272740768700/"
,,,,,,,,,,,,,,,,"100068403693887","Hybrid Kamote","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/309410226_411876924435761_2318746114400716815_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx452x456&ctp=p40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=rWoqrtTTAjYQ7kNvwENToE9&_nc_oc=AdqCnvcEPhdHo6kpCc7ZobDCzbVpGcC-J2-iUBwSEZJRXxQo_dhSuVA7Dgjdy3Whstw&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=eHJmCtlgHsiotKzVBwdP4g&_nc_ss=7c2a8&oh=00_AQCCVihDFRJd-7uYu4dNMEZL1gndGpCtjSROtkJVSs4-Cw&oe=6A5FE18C","https://www.facebook.com/hybridkamote17","1","2084718085190842","",,"2","1",,,,"3","0","1536993785000","https://www.facebook.com/groups/1922729914722994/permalink/2084718085190842/"
,,,,,,,,,,,,,,,,"1167460487","Jessie D. Navarro","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/288631514_10225643254765984_7145388515119126093_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=1d2534&_nc_ohc=7OTSvvG3-kAQ7kNvwHsqiIU&_nc_oc=Adrto4jAU5jnKO0l8tBundrqh6lmNow_4FjsVLOwYwjWHld1YgdAgEY8WBWEGfCyUAY&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=9h8lOQdTnst3Jo5dAeeI_w&_nc_ss=7c2a8&oh=00_AQC3bBQEXFkIUT3JFNpGNQdwTGBkJ25cIN1-KoWj0cL_Rw&oe=6A5FE1FC","https://www.facebook.com/jessie.d.navarro.9","2","2017454681879560","",,,"1",,"2",,"3","0","1536996764000","https://www.facebook.com/groups/RACER.volunteer/permalink/2017454681879560/"
,,,,,,,,,,,,,,,,"100009398103788","Tony Dela Torre","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/72490263_2460727587583821_5667102050199011328_n.jpg?stp=c0.0.720.720a_cp0_dst-jpg_tt6&cstp=mx720x720&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=e99d92&_nc_ohc=uhAlEHRYYJgQ7kNvwEaVx83&_nc_oc=Adq6CY8r-aShLPkOU7fr_jwrKioxZ70GEd05qEl7s4R9xI9y9vBUWyGqpPI9l8eU1pE&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=9h8lOQdTnst3Jo5dAeeI_w&_nc_ss=7c2a8&oh=00_AQBsPXcy3wu8vryZhlK_cZQQJoI4Dh5DZkFsB5-oxOP9UQ&oe=6A81A522","https://www.facebook.com/tony.delatorre.5","1","2353438821350015","",,,,,"1",,"1","0","1536973115000","https://www.facebook.com/groups/115074531853133/permalink/2353438821350015/"
,,,,,,,,,,,,,,,,"100064471071275","Suntrust Verona Silang Cavite ‘Lacita de amore’","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/515495477_1174791504679874_2358993110236712028_n.jpg?stp=c7.0.1362.1362a_cp0_dst-jpg_tt6&cstp=mx1362x1362&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=KIdqe11PFhMQ7kNvwElbKI1&_nc_oc=Ado2gklB_Er_SD8DpTW9d7lnuWjelSwzVCL6UY_moqdl4_WNw0ubz3rtNn_e5G8Xm14&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=9h8lOQdTnst3Jo5dAeeI_w&_nc_ss=7c2a8&oh=00_AQA03AOfrTOfvVTbHQ2eg1bJEmOs87PZqEftY3zBd2ROxw&oe=6A5FE657","https://www.facebook.com/suntrustpropertiesinco","2","2239147312985839","",,,,,,,"0","0","1537015702000","https://www.facebook.com/groups/bahay1/permalink/2239147312985839/"
,,,,,,,,,,,,,,,,"100009260315796","Annel A. Acurin","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/682012694_4346318819020086_1956520710714184321_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1086x1086&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=1d2534&_nc_ohc=JcIdavOBjOEQ7kNvwFTZSQ7&_nc_oc=AdodvBQ63JlXOFDxqJQMefiwIpigBm9ihs_uRajQCgGrOtPhJmV3BjyCBbFLavaz5Yo&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=9h8lOQdTnst3Jo5dAeeI_w&_nc_ss=7c2a8&oh=00_AQCIFNNpW_SzUtLDTak9VZdxZbj-pQ0Q1ioceyu3yX-FVQ&oe=6A5FE9E5","https://www.facebook.com/annelyn.deafria","0","338591736887343","",,,,,,,"0","0","1537020612000","https://www.facebook.com/groups/133082730771579/permalink/338591736887343/"
,,,,,,,,,,,,,,,,"100064471071275","Suntrust Verona Silang Cavite ‘Lacita de amore’","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/515495477_1174791504679874_2358993110236712028_n.jpg?stp=c7.0.1362.1362a_cp0_dst-jpg_tt6&cstp=mx1362x1362&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=KIdqe11PFhMQ7kNvwElbKI1&_nc_oc=Ado2gklB_Er_SD8DpTW9d7lnuWjelSwzVCL6UY_moqdl4_WNw0ubz3rtNn_e5G8Xm14&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=9h8lOQdTnst3Jo5dAeeI_w&_nc_ss=7c2a8&oh=00_AQA03AOfrTOfvVTbHQ2eg1bJEmOs87PZqEftY3zBd2ROxw&oe=6A5FE657","https://www.facebook.com/suntrustpropertiesinco","0","338982606848256","",,,,,,,"0","0","1537086542000","https://www.facebook.com/groups/133082730771579/permalink/338982606848256/"
,,,,,,,,,,,,,,,,"100064471071275","Suntrust Verona Silang Cavite ‘Lacita de amore’","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/515495477_1174791504679874_2358993110236712028_n.jpg?stp=c7.0.1362.1362a_cp0_dst-jpg_tt6&cstp=mx1362x1362&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=KIdqe11PFhMQ7kNvwElbKI1&_nc_oc=Ado2gklB_Er_SD8DpTW9d7lnuWjelSwzVCL6UY_moqdl4_WNw0ubz3rtNn_e5G8Xm14&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=kUpaq_vMlR3z8LR_BHd6Uw&_nc_ss=7c2a8&oh=00_AQAwjhkZzHYIX17N7CJ3NydL9BytgVPigXhruNAQDU9I7w&oe=6A5FE657","https://www.facebook.com/suntrustpropertiesinco","0","2239589599608277","",,,,,,,"0","0","1537086139000","https://www.facebook.com/groups/bahay1/permalink/2239589599608277/"
