"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/like","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","454090281292925","photo","https://www.facebook.com/photo/?fbid=454090281292925&set=a.193410029730221","100071836765893","Baha ka lang, Pinoy Kami","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/307871368_193410053063552_3928856681465458841_n.png?stp=cp0_dst-png&cstp=mx500x500&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=ITpO0eluTNAQ7kNvwGB7_TJ&_nc_oc=AdrJ59uLldswFzmLtsZiBRLbdUrc4SAdY-Kx87f1fJrb1wi2ZsNXxNKgn8zyALrYuvc&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=dnEIMb3EZM3k3jsi5kkI-Q&_nc_ss=7c2a8&oh=00_AQBiotXILAHvxdSZMaN7XO_ZrzKw4OIaoa4nuQxuRaVkSQ&oe=6A601956","https://www.facebook.com/BKLPK.AdmeenP","11","454090281292925","Nawawalang Ina ni Smugg xD


HireAdmin→University of Cute and Single ツ
Like→University of Cute and Single ツ

•|Paul Rosales II|•","29","29","3","1354677152000","https://www.facebook.com/photo.php?fbid=454090281292925&set=a.193410029730221&type=3"
"No photo description available.","453743021327651","photo","https://www.facebook.com/photo/?fbid=453743021327651&set=a.193410029730221","100071836765893","Baha ka lang, Pinoy Kami","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/307871368_193410053063552_3928856681465458841_n.png?stp=cp0_dst-png&cstp=mx500x500&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=ITpO0eluTNAQ7kNvwGB7_TJ&_nc_oc=AdrJ59uLldswFzmLtsZiBRLbdUrc4SAdY-Kx87f1fJrb1wi2ZsNXxNKgn8zyALrYuvc&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=u4zpXL1Z_qiE-qe4sQ46cw&_nc_ss=7c2a8&oh=00_AQA45HEur_483ua5l3elqJyY04AEUTjGIES4SEcP0Cmg8w&oe=6A601956","https://www.facebook.com/BKLPK.AdmeenP","4","453743021327651","Si Loonie xD Epic Face ! xD

HireAdmin→University of Cute and Single ツ
Like→University of Cute and Single ツ


•|Paul Rosales II|•","17","17","1","1354596529000","https://www.facebook.com/photo.php?fbid=453743021327651&set=a.193410029730221&type=3"
,,,,"100003362383866","Gretchen Bautista Vidas","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/662087140_26086314624397261_9214790693612932642_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1365x1365&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=1d2534&_nc_ohc=86UXr-gRCEYQ7kNvwHGoZ9-&_nc_oc=AdpyTdTV3kIAe7nQztnQcNkphUG32dxDNBxSyHnrLPFTRK3IyUm3R7NV9e0EZVN0uOE&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=u4zpXL1Z_qiE-qe4sQ46cw&_nc_ss=7c2a8&oh=00_AQAXaLxxQcedLqZZgKyqqRz2AFUv85WfvMye3ui0qru75A&oe=6A60207A","https://www.facebook.com/gretchenticketingservices","0","10151294465091473","FORWARDED MESSAGE NOW LANG Paspas ang pagtaas sa baha sa asunci0n ug magsun0d gyud day0n nah sa pagsabangan, frnds kindly nform our fwnds @ pagsabangan ug padul0ng dri tagum 
nga leave der haws immediately!",,,"0","1354634780000","https://www.facebook.com/allan.rellon/posts/10151294465091473"
"No photo description available.","453736497994970","photo","https://www.facebook.com/photo/?fbid=453736497994970&set=a.193410029730221","100071836765893","Baha ka lang, Pinoy Kami","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/307871368_193410053063552_3928856681465458841_n.png?stp=cp0_dst-png&cstp=mx500x500&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=ITpO0eluTNAQ7kNvwGB7_TJ&_nc_oc=AdrJ59uLldswFzmLtsZiBRLbdUrc4SAdY-Kx87f1fJrb1wi2ZsNXxNKgn8zyALrYuvc&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=u4zpXL1Z_qiE-qe4sQ46cw&_nc_ss=7c2a8&oh=00_AQA45HEur_483ua5l3elqJyY04AEUTjGIES4SEcP0Cmg8w&oe=6A601956","https://www.facebook.com/BKLPK.AdmeenP","71","453736497994970","Anu Mas Maganda? Comment ! A or B .

HireAdmin→University of Cute and Single ツ
Like→University of Cute and Single ツ


•|Paul Rosales II|•","28","28","6","1354594680000","https://www.facebook.com/photo.php?fbid=453736497994970&set=a.193410029730221&type=3"
"No photo description available.","405100259559039","photo","https://www.facebook.com/photo/?fbid=405100259559039&set=a.462122675959066","100064840114389","Bagyo Baha Lindol atbp","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/309114832_462122682625732_9046280945650065370_n.jpg?stp=c369.0.945.945a_cp0_dst-jpg_tt6&cstp=mx945x945&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=5ItEz244B94Q7kNvwHN4DUe&_nc_oc=Adr7z16gpmnDB7PGQ0Twd2lgjGVSRMsbNmPH5ob0V3PnWHXIEfs60kQFu6dPKSoc3K8&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=u4zpXL1Z_qiE-qe4sQ46cw&_nc_ss=7c2a8&oh=00_AQC0asKqhizDr7rxDcJWXSEkF2rGcgA4uJlSoGq3rG7jSw&oe=6A600C5B","https://www.facebook.com/profile.php?id=100064840114389","0","405100259559039","Light rain over Metro Manila expected with Typhoon Pablo. Doppler radar image from Project Noah website at 12:02 p.m. today.",,"0","2","1354595274000","https://www.facebook.com/photo.php?fbid=405100259559039&set=a.462122675959066&type=3"
"No photo description available.","454160174619269","photo","https://www.facebook.com/photo/?fbid=454160174619269&set=a.193410029730221","100071836765893","Baha ka lang, Pinoy Kami","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/307871368_193410053063552_3928856681465458841_n.png?stp=cp0_dst-png&cstp=mx500x500&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=ITpO0eluTNAQ7kNvwGB7_TJ&_nc_oc=AdrJ59uLldswFzmLtsZiBRLbdUrc4SAdY-Kx87f1fJrb1wi2ZsNXxNKgn8zyALrYuvc&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=u4zpXL1Z_qiE-qe4sQ46cw&_nc_ss=7c2a8&oh=00_AQA45HEur_483ua5l3elqJyY04AEUTjGIES4SEcP0Cmg8w&oe=6A601956","https://www.facebook.com/BKLPK.AdmeenP","12","454160174619269","Tara Chat Tayo!!!! , Add Mo ko Accept Kita Agad <3
--> http://www.facebook.com/youhae <3","14","14","1","1354696788000","https://www.facebook.com/photo.php?fbid=454160174619269&set=a.193410029730221&type=3"
"No photo description available.","405050672897331","photo","https://www.facebook.com/photo/?fbid=405050672897331&set=a.462122675959066","100064840114389","Bagyo Baha Lindol atbp","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/309114832_462122682625732_9046280945650065370_n.jpg?stp=c369.0.945.945a_cp0_dst-jpg_tt6&cstp=mx945x945&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=5ItEz244B94Q7kNvwHN4DUe&_nc_oc=Adr7z16gpmnDB7PGQ0Twd2lgjGVSRMsbNmPH5ob0V3PnWHXIEfs60kQFu6dPKSoc3K8&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=u4zpXL1Z_qiE-qe4sQ46cw&_nc_ss=7c2a8&oh=00_AQC0asKqhizDr7rxDcJWXSEkF2rGcgA4uJlSoGq3rG7jSw&oe=6A600C5B","https://www.facebook.com/profile.php?id=100064840114389","0","405050672897331","As of 9:00 a.m. today, Typhoon Pablo by the Japan Meteorological Agency.",,"0","1","1354583908000","https://www.facebook.com/photo.php?fbid=405050672897331&set=a.462122675959066&type=3"
"No photo description available.","405098332892565","photo","https://www.facebook.com/photo/?fbid=405098332892565&set=a.462122675959066","100064840114389","Bagyo Baha Lindol atbp","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/309114832_462122682625732_9046280945650065370_n.jpg?stp=c369.0.945.945a_cp0_dst-jpg_tt6&cstp=mx945x945&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=5ItEz244B94Q7kNvwHN4DUe&_nc_oc=Adr7z16gpmnDB7PGQ0Twd2lgjGVSRMsbNmPH5ob0V3PnWHXIEfs60kQFu6dPKSoc3K8&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=d6r-dlY187wmU3ujTkllSw&_nc_ss=7c2a8&oh=00_AQAXNMO6Ap6bpjAiv3-uM0wiSJ8REJofB5gugnRuc9RbXg&oe=6A600C5B","https://www.facebook.com/profile.php?id=100064840114389","0","405098332892565","JMA image of Typhoon Pablo as of 11:00 a.m. today Manila time.","1","1","3","1354594846000","https://www.facebook.com/photo.php?fbid=405098332892565&set=a.462122675959066&type=3"
"No photo description available.","405059312896467","photo","https://www.facebook.com/photo/?fbid=405059312896467&set=a.462122675959066","100064840114389","Bagyo Baha Lindol atbp","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/309114832_462122682625732_9046280945650065370_n.jpg?stp=c369.0.945.945a_cp0_dst-jpg_tt6&cstp=mx945x945&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=5ItEz244B94Q7kNvwHN4DUe&_nc_oc=Adr7z16gpmnDB7PGQ0Twd2lgjGVSRMsbNmPH5ob0V3PnWHXIEfs60kQFu6dPKSoc3K8&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=d6r-dlY187wmU3ujTkllSw&_nc_ss=7c2a8&oh=00_AQAXNMO6Ap6bpjAiv3-uM0wiSJ8REJofB5gugnRuc9RbXg&oe=6A600C5B","https://www.facebook.com/profile.php?id=100064840114389","0","405059312896467","Typhoon Pablo as of 2 a.m. this morning December 4, 2012. From Weather Underground.",,"0","2","1354585654000","https://www.facebook.com/photo.php?fbid=405059312896467&set=a.462122675959066&type=3"
,,,,"348389881842374","Soldier's Heart","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/308037708_148522724543316_3052288667174878454_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx480x480&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=zV_PacPSgr8Q7kNvwE2bOZs&_nc_oc=Adqp2Mp-8txIQH-RN1FJb4Rhr98D-1vbdIIojFS0VVpTLfu-R9MjzMHL34OFl8ZfUZE&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=d6r-dlY187wmU3ujTkllSw&_nc_ss=7c2a8&oh=00_AQC2PEcUMp44w1z14DJ210X_ZK-wXe_7Ek7o6g3xZcW5nQ&oe=6A6022DE","https://www.facebook.com/profile.php?id=100081567665891","3","571410846217658","Umabot na umano sa 43 ang kumpirmadong namatay, 25 ang sugatan, habang siyam naman ang patuloy pang pinaghahanap matapos rumagasa ang malakas na baha dala ng bagyong Pablo sa bayan ng New Bataan, Compostela Valley.

Ang siyam na nawawala ay mga sundalong sakay sa isang Army truck habang nagsasagawa ng rescue operations sa New Bataan, na matinding tinamaan ng bagyong Pablo.
","17","17","3","1354667860000","https://www.facebook.com/permalink.php?story_fbid=571410846217658&id=348389881842374"
,,,,"100002837710704","Daisy Umpad","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/456617590_7670346919736489_7967111564158273415_n.jpg?stp=c46.20.253.253a_cp0_dst-jpg_tt6&cstp=mx253x253&ctp=s40x40&_nc_cat=105&ccb=1-7&_nc_sid=1d2534&_nc_ohc=Kq22KSb7vTMQ7kNvwHlpsYz&_nc_oc=AdqznlKWZX8BZJIrmbVtJqkuQMyBqEWubHNUETR4jlGVqzK9XBd774fzbhpjDbc2QXk&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=d6r-dlY187wmU3ujTkllSw&_nc_ss=7c2a8&oh=00_AQBFrtQXVfTPPzeg-HvzMrteCihBgkPs52NqwSavhkNfqw&oe=6A6014FE","https://www.facebook.com/daisy.umpad","0","308195695951685","BAKIT KAYA HINDI KAYO GUMAWA NG BARKONG BAHAY PARA PAG MAY BAHA LULUTANG ANG BAHAY MO???...AT LEAST IT'S MUCH SAFETY IS IT...",,"0","0","1354615198000","https://www.facebook.com/daisy.umpad/posts/pfbid02Dv6kvmmfE2pjy49EuS6k7uiuGjWghHcF8NDoMbLvZb7NyWzPYJfyVFgU2QYKVgMl"
,,,,"100067181865799","Gising Kay Toto Causing","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/309274933_431524095763649_5572378614552233326_n.jpg?stp=c24.0.1152.1152a_cp0_dst-jpg_tt6&cstp=mx1152x1152&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=9r5h_MhMzxMQ7kNvwF4BeSS&_nc_oc=Adqeaqy1W4lpjdR7Uj-OZTD9RDqv3TqfUBgIjxMgV5yCgpYOoO2wV7BrjDqO-606z1g&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=d6r-dlY187wmU3ujTkllSw&_nc_ss=7c2a8&oh=00_AQBy8V3eeND6eL2adfXaREMhVGozREBRaUarKxvvPzinnQ&oe=6A60254F","https://www.facebook.com/profile.php?id=100067181865799","0","456595601063211","SA TUWING AAPRUBAHAN NILA ANG RH BILL, BAKIT NATATAON NA MAY BAHANG MALAKI AT BAGYO?

Noong unang pag-uusapan, ibinagsak ng langit ng Habagat na Bahay, walang pasok sa buong linggo.

Ngayong iniskedyul, ibinagsak din ng langit ang malaking baha at hangin ng Supertyphoon Pablo.

BAKIT KAYA?",,"0","0","1354715542000","https://www.facebook.com/permalink.php?story_fbid=pfbid0JGPNFf7bNDY9ZPFK7JjHGXQdHervQeq6CzSKGTU7nwUyYgf8mniSjrLi8ewGmiECl&id=100067181865799"
"No photo description available.","405054612896937","photo","https://www.facebook.com/photo/?fbid=405054612896937&set=a.462122675959066","100064840114389","Bagyo Baha Lindol atbp","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/309114832_462122682625732_9046280945650065370_n.jpg?stp=c369.0.945.945a_cp0_dst-jpg_tt6&cstp=mx945x945&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=5ItEz244B94Q7kNvwHN4DUe&_nc_oc=Adr7z16gpmnDB7PGQ0Twd2lgjGVSRMsbNmPH5ob0V3PnWHXIEfs60kQFu6dPKSoc3K8&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=HE-_NX54x_bdCO0D2KyfNw&_nc_ss=7c2a8&oh=00_AQAap1-u1hS5G3WvDrWrPxB5xj6HY4GEG3ALtjeZkndcKA&oe=6A600C5B","https://www.facebook.com/profile.php?id=100064840114389","0","405054612896937","Typhoon Pablo tracking, 5-day forecast, ensemble model from Weather Underground.",,"0","9","1354584780000","https://www.facebook.com/photo.php?fbid=405054612896937&set=a.462122675959066&type=3"
,,,,"100083584509138","Cooler tats Blog","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/441409017_416250447837769_2194000877446432692_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx480x483&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=piIsH5rEy64Q7kNvwFUjxC4&_nc_oc=AdrtOSS5ikKyW6zbr-DJXpODm_xRW3ODmXDVieroGXoipRdlSI1yOBpOPafihPCRYk8&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=HE-_NX54x_bdCO0D2KyfNw&_nc_ss=7c2a8&oh=00_AQD4qRWStaCxHrB3_C8bqGSGNjT1eR8DQ2_ByFDG-iZqdw&oe=6A603D2D","https://www.facebook.com/Tatsblogger","0","536353443043112","Baha, brownout, stranded dahil kay 'Pablo'
Written by Elmar Acol
Tuesday, 04 December 2012 16:08

Dalawa na ang kumpirmadong patay dahil sa pananalasa ng bagyong Pablo.

Sinabi ngayon National Disaster Risk Reduction and Management Council (NDRRMC) Executive Director Benito Ramos na kaninang tanghali lang ay kaniyang natanggap ang report mula sa Office of Civil Defense Region 11.

Kinilala ang nas
awi na si Erlinda Balate, 50, ng Davao Oriental.

Nabagsakan umano ang biktima ng natumbang puno ng niyog.

Patay din ang isang lalaking nakamotorsiklo nang matumbahan ng puno sa Misamis Oriental.

Kinilala ang biktima na si Jeger Gumunit, 30, ng Panaon, Misamis Oriental.

Patuloy pang inaalam ng NDRRMC kung may casualties naman sa nangyaring landslide sa Compostela Valley matapos napaulat na isang bahay ang natabunan ng gumuhong lupa.

Muli namang nagbabala ang Provincial Disaster Risk Reduction and Management Council (PDRRMC) sa lahat ng mga residente na iwasan muna ang pagbiyahe.

Ito'y matapos maraming mga tulay ang nag-overflow habang patuloy din ang pagtaas ng tubig-baha.

Ayon kay Teddy Sabugaa ng PDRRMC, nag-overflow na ang spill-way sa Balingasag Misamis Oriental, tumaas na rin ang tubig ng Molugan highway at hindi na passable.

Marami ring malalaking mall sa syudad ang nagsara bunsod ng walang tigil na pag-ulan at malakas na ihip ng hangin.

Nag-panic buying naman ang ilang mga residente sa mga pagkain, tubig at gasolina.

Napag-alaman na maraming mga residente ang nabahala at nag-panic dahil sa malakas na hangin kung saan maraming mga bubungan ng kanilang mga bahay ang lumipad at may mga kahoy din na natumba.

Tumaas din ang tubig ng dalawang malaking ilog dito sa lungsod, ang Cagayan de Oro at Iponan river.

Sa El Salvador City, nakatanggap ng report ang Bombo Radyo na tatlong bahay ang tinamaan ng buhawi kung saan patuloy pang inaalam ngayon ng PDRRMC kung may nasaktan o casualty.

Samantala sa Bukidnon, maraming mga residente ang nagsabing umapaw ang tubig-baha sa kanilang mga ilog partikular sa Libona at Cabanglasan.

Nakaranas din ng matinding pag-ulan at hangin ang mga residente kung kaya't simula kaninang umaga ay nawalan na sila ng koryente.

Mahigit naman 50,000 residente na sa Cagayan de Oro at mga barangay na sakop sa Misamis Oriental ang nasa evacuation centers.

Marami sa mga barangay ng syudad ang nakaranas ng total power black out.

Naramdaman na rin sa lalawigan ng Cebu ang hagupit ng bagyong Pablo.

Ilang mga residente ng southern part sa probinsiya ng Cebu ang nag-evacuate na dahil sa naranasang mga pag-ulan, malakas na hangin at ang mataas na alon sa dagat.

Pansamantalang pinutol ng Visayan Electric Company ang suplay ng koryente ng Talisay City dahil sa malakas na hangin, habang inutos naman ni Lapu-Lapu Mayor Paz Radaza ang forced evacuation sa mga tao na nakatira sa flashflood at landslide prone areas.

Samantala, nagdeklara na ng suspensyon sa trabaho ang Lapu-Lapu City at Mandaue City sa mga tanggapan ng gobyerno maliban na lang sa mga emergency personnel na naka-heightened alert status dahil sa paghagupit ng bagyong Pablo.

Una rito, sinuspendi ni Cebu City Mayor Micheal Rama at Cebu Governor Gwendolyn Garcia ang pasok sa lahat ng antas ng paaralan sa buong lalawigan ng Cebu upang maiwasan ang sakuna at hindi malagay sa peligro ang buhay ng mga estudyante.

Umabot naman sa 143 na mga pasaheros at 77 na mga sasakyang pandagat ang stranded sa mga pantalan sa Southern Leyte dahil sa sama ng panahon dulot ni bagyong Pablo.

Sa nakuhang impormasyon ng Bombo Radyo Tacloban kay Petty Officer 1st Class, Romulo Alob ng Coast Guard Detachment Lilioan, napag-alaman na umabot sa tatlo ang stranded sa mga ferry terminal, isang fishing boat, 10 motor boats at 10 rolling cargoes sa Liloan, port area kung saan tinatayang nasa 38 na mga pasaheros ang stranded.

Sa Benit, San Ricardo, Southern, Leyte naman umabot sa 105 na mga pasaheros ang na-stranded at 53 na mga rolling cargoes.

Samantala sa kabila ng mahinang ulan sa Southern, Leyte, hindi pa rin nagkumpiyansa ang Provincial Disaster Risk Reduction and Management Council (PDRRMC) dahil sa pangamba na magkaroon ng landslides sa St. Bernard, Southern, Leyte partikular ang Barangay Guin-saugon.

Umabot naman sa 1,257 ang isinailalim sa pre-emptive evacuation sa St. Bernard, Southern Leyte.

Normal naman ang operasyon ng lahat ng mga flights dito sa lungsod ng Tacloban maliban lamang sa Tacloban to Cebu, vice versa, via Cebu Pacific flight.

Iniulat naman ni Philippine Coast Guard (PCG) spokesman Lt. Cmdr. Armand Balilo, bumaba na ang ang bilang ng mga stranded passengers ay dahil sa karamihan sa mga ito ay nagpasya na lamang na magsiuwian sa kanilang mga tahanan.

Hindi rin aniya makakabiyahe ang mga ito dahil sa hindi pa pinapayagang maglakbay ang anumang uri ng sasakyang dagat dahil sa bagyo.

Sa datos ng PCG, umaabot sa 2,960 ang kabuuang bilang ng pasahero ang kanilang naitala, 267 rolling cargoes, 132 vessel, 61 motorbanca, at 10 naman ang nag-take shelter.

Patuloy naman ang paalala ng PCG sa mga mangingisda na huwag munang pumalaot habang ang mga pasahero at mga sasakyan ay pinayuhan naman na iwasan na lamang pagtungo sa mga pantalan upang hindi na makadagdag pa sa bilang ng mga stranded na pasahero.",,"0","1","1354618740000","https://www.facebook.com/Tatsblogger/posts/pfbid0UR2da38qHBkGmwdMmbVFQzDyuMNUvQd65xXpNVVD3RVoDCPrkPaKBbK9hPZBxmd3l"
,,,,"100064615666947","Bandila","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/352524397_6551217134899673_7148408169278467741_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=109&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=3pYTKcJDQqMQ7kNvwHZC4I0&_nc_oc=Adp9UFCpa1sUs6rXnswTLfy6Ol7uKhJQOJs5B92rHx9F3zXIr3urQdJ378SEf6xk25o&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=HE-_NX54x_bdCO0D2KyfNw&_nc_ss=7c2a8&oh=00_AQA5JSgLu4YY1Z55XT3KgX6qIO3yTWEeDGYAjoYh8CCvqw&oe=6A603374","https://www.facebook.com/Bandila.OFFICIAL","8","10151285596947661","NGAYON SA #Bandila Daan-daang apektado ng baha at landslide sa New Bataan, pansamantalang sumisilong sa gymnasium","16","16","0","1354718592000","https://www.facebook.com/Bandila.OFFICIAL/posts/pfbid02phf6SMkW6zEW6cvbYfpKjbEhDD15WYoCGSP5y6YQSmKbNDAuhFSyCUUHHUhpGp8ol"
,,,,"100064926720554","Disaster Information Service - Philippines","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/313198148_499379358902951_88691280234451512_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx882x882&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Ioj-oV5VRBkQ7kNvwGf-FvP&_nc_oc=Adrx_KfHXD0jdicE-6oNMESkBaU3Dkzfa-v2SgUNs6IR_X2UciGdSsWu8hCGvsKgO2s&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=HE-_NX54x_bdCO0D2KyfNw&_nc_ss=7c2a8&oh=00_AQCQlw_x3N0HzA_mrXIhvpdCDmUJnpKVB63Yrv98xDdWfw&oe=6A602831","https://www.facebook.com/dis.pia.gov.ph","0","441044515944250","DZIQ: Hindi pa makumpirma ni NDRRMC Exec Dir Benito Ramos ang ulat kaugnay pagkatangay sa baha ng isang truck na may sakay na mahigit na 20 katao sa New Bataan, Compostela Valley. Samantala, sinabi naman ng commander ng Disaster Response Task group ng AFP Mindanao Command na natanggap din nila ang ulat na may isang sundalong sakay ng truck ang namatay samantalang isang army official naman ang nasugatan.",,"0","0","1354615740000","https://www.facebook.com/dis.pia.gov.ph/posts/pfbid02L7Qow3rZjnWWWPewbi9ufrCuMqcTqgAo1hsGnbFjQLyTqDUdEraw7SJcKqa8n5tcl"
,,,,"100003362383866","Gretchen Bautista Vidas","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/662087140_26086314624397261_9214790693612932642_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1365x1365&ctp=s24x24&_nc_cat=103&ccb=1-7&_nc_sid=1d2534&_nc_ohc=86UXr-gRCEYQ7kNvwHGoZ9-&_nc_oc=AdpyTdTV3kIAe7nQztnQcNkphUG32dxDNBxSyHnrLPFTRK3IyUm3R7NV9e0EZVN0uOE&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=HE-_NX54x_bdCO0D2KyfNw&_nc_ss=7c2a8&oh=00_AQCNkMQJEWreYaKVUYVBCZwbqrtmG7FhcionqxbgLYhY-w&oe=6A60207A","https://www.facebook.com/gretchenticketingservices","0","560824450610432","FORWARDED MESSAGE NOW LANG :::Paspas ang pagtaas sa baha sa asunci0n ug magsun0d gyud day0n nah sa pagsabangan, frnds kindly nform our fwnds @ pagsabangan ug padul0ng dri tagum nga leave der haws immediately!",,"0","0","1354632565000","https://www.facebook.com/groups/196879530338261/permalink/560824450610432/"
