"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/like","reactionsCount","sharesCount","timestamp","url"
,,,,"100001044800940","Mohammad Hamsa","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/746662746_27921808440770608_6453631526111177707_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx888x896&ctp=s24x24&_nc_cat=106&ccb=1-7&_nc_sid=e99d92&_nc_ohc=yb0pLHvXoxUQ7kNvwHk3nK-&_nc_oc=AdqS5zL_FT-EHblJB83N0jI8vd_hw4zXEftgm7D6XI3lD_H-nT90VCaG7fPIWWndn_E&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=4WtgIPPui7WZYXmKPmnawA&_nc_ss=7c2a8&oh=00_AQA0WGMolqs2xA8oW1OOsucCIIj-E9eu6Qg4ZhiGghj2dg&oe=6A600F65","https://www.facebook.com/RedAmin01","2","1523911607900539","#FloodPH 300 Families Barangay Bongabon and barangay Gabaldon Nueva Ecija lagpas tao na baha need rescue source Engr. ocampo of Wisar
#ProjectAgos #Rappler #RACER","13","13","0","1445142056000","https://www.facebook.com/groups/RACER.volunteer/permalink/1523911607900539/"
"No photo description available.","975752555780927","photo","https://www.facebook.com/photo/?fbid=975752555780927&set=a.158651386095070","100058506291277","Avon Manalo","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/471590461_1190825362877662_7795999827834436418_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x958&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=GTSRP8t6BbgQ7kNvwH4O26Y&_nc_oc=AdrPD8BCYaihttPdnDM9QBQ2yODTvOrXP-e5Wl9YsF2aFwsmGml8Vv8b1fxkiYqcfrc&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=4WtgIPPui7WZYXmKPmnawA&_nc_ss=7c2a8&oh=00_AQCKIcC2BVHhFDRS9nze8s-0DkKajzCozMg4ETP6Ug9uTg&oe=6A600DB8","https://www.facebook.com/AvonVMrce","0","975752555780927","Bumabagyo na... lulusong ka ba sa baha para lang magpa-LOAD?
Sa Vmobile LOADXTREME! Load yourself at the comfort of your home. . .
Ask me how 09989275421","1","1","0","1445140816000","https://www.facebook.com/photo.php?fbid=975752555780927&set=a.158651386095070&type=3"
,,,,"100000258784067","Fe Carreon","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/658142480_26825508557041074_1026830867771105524_n.jpg?stp=cp6_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=1d2534&_nc_ohc=aXY_m4x3x00Q7kNvwH164tm&_nc_oc=AdpIT6_oA_qfac11bls5irwc3Jo6XMHcRviKndXJEZKRblMB8hQuf6NQe5iVbp2mk-8&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=4WtgIPPui7WZYXmKPmnawA&_nc_ss=7c2a8&oh=00_AQCT-GK4Rk05jSntj84sUiepXh7GCK9XxLEGN-OerTnbXw&oe=6A5FFC3E","https://www.facebook.com/fe.carreon","0","1078229522195664","","10","10","0","1445212581000","https://www.facebook.com/groups/744477818898316/posts/1066892996656795/"
"No photo description available.","1652618461690486","photo","https://www.facebook.com/photo/?fbid=1652618461690486&set=a.584692340018402","100054329238816","LoadXtreme Pasig","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/300388461_584692346685068_1100716750347546286_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx469x469&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=uz3bzu87zcgQ7kNvwECxJrW&_nc_oc=AdqlvhvwMkNY0Hpo_ZhL4bFO1v8z8eaMapo7UwEOMR1rriSAmbj2X4cPVXbIbiM_A3E&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=4WtgIPPui7WZYXmKPmnawA&_nc_ss=7c2a8&oh=00_AQDc4TqDO_eAUDG7ZzblaF7mD4MYae4PHLpOoungY7pQQw&oe=6A5FFCCA","https://www.facebook.com/LoadingBusinessPasig","0","1652618461690486","Bumabagyo na... lulusong ka ba sa baha para lang magpa-LOAD?
Sa Vmobile LOADXTREME! Load yourself at the comfort of your home. . .
Ask me how 09989275421",,"0","0","1445140815000","https://www.facebook.com/photo.php?fbid=1652618461690486&set=a.584692340018402&type=3"
,,,,"100003791345237","Rongra Advertisng","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/291324338_2551614801641540_3124706867550921044_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx406x406&ctp=s24x24&_nc_cat=107&ccb=1-7&_nc_sid=1d2534&_nc_ohc=3F5Yf_8SSVAQ7kNvwE67AVb&_nc_oc=AdrHVGlYIfbFjzP5oMzTtriPzReYRl1N0rbixNpdYFA9F-A799GQr0254ltX7e2fPhs&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=4WtgIPPui7WZYXmKPmnawA&_nc_ss=7c2a8&oh=00_AQCZtkLK-4djpiEhzNF0STFu-bLnmMgpocJluMcerXKzaw&oe=6A601823","https://www.facebook.com/rongraadvertising","0","1523983537893346","#flood alert in Sacdalan San Miguel Bulacan  as of 8:00 PM mataas na po ang baha hanggang leeg na..","5","5","0","1445173283000","https://www.facebook.com/groups/RACER.volunteer/permalink/1523983537893346/"
,,,,"100000258784067","Fe Carreon","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/658142480_26825508557041074_1026830867771105524_n.jpg?stp=cp6_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=1d2534&_nc_ohc=aXY_m4x3x00Q7kNvwH164tm&_nc_oc=AdpIT6_oA_qfac11bls5irwc3Jo6XMHcRviKndXJEZKRblMB8hQuf6NQe5iVbp2mk-8&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=4WtgIPPui7WZYXmKPmnawA&_nc_ss=7c2a8&oh=00_AQCT-GK4Rk05jSntj84sUiepXh7GCK9XxLEGN-OerTnbXw&oe=6A5FFC3E","https://www.facebook.com/fe.carreon","0","1066892996656795","","10","10","0","1445212581000","https://www.facebook.com/groups/744477818898316/permalink/1066892996656795/"
