"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/like","reactionsCount","sharesCount","timestamp","url"
,"1621812144759083","video",,"100064101782731","The ICCT Observer","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/299531724_431664725646917_3089385043824914358_n.png?stp=c94.0.756.756a_cp0_dst-png&cstp=mx756x756&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=9wopVmQhvKsQ7kNvwFMsrH_&_nc_oc=AdrXHerNINRu-u8gkh9Qs51aqizQUESBv0dvLqcp4pKoQ4ZWHFCo0taBmzjvRHgDnhs&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=xFZeeAGHuze_hlN_degjuA&_nc_ss=7c2a8&oh=00_AQAq3jAqUH2dOwrTKyc1XmbnW4bickVtUKbjiLFwYpic6w&oe=6A600110","https://www.facebook.com/ICCTObserver","0","1621812144759083","ganto ang kadalasang ng yayari tuwing malakas ang ulan sa school :)","6","6","6","1445185775000","https://www.facebook.com/ICCTObserver/videos/1621812144759083/"
"No photo description available.","1698718343695602","photo","https://www.facebook.com/photo/?fbid=1698718343695602&set=a.489108613376908","100068333209025","Marikeño","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/747736567_1324725309815230_2990269506818081412_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=109&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=1sD2F5x8W-MQ7kNvwGu817y&_nc_oc=Adpe7EbS10c_LGTMNLmDTWsseKGUvESBGD-mmbqS_y4NSA8ye7vTSySUtr6uSQAz6es&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=xFZeeAGHuze_hlN_degjuA&_nc_ss=7c2a8&oh=00_AQCA2c6yUHXVxwhdAx8HQJytLvi6omQwaEyjS4QiLthOhQ&oe=6A5FF2DA","https://www.facebook.com/marikeno","13","1698718343695602","Nakuha pa ni kuya na linisin ang kanyang tricycle sa tubig baha sa ilog ng Tumana. Kuya, 17.5 meters na ang tubig sa ilog ng Tumana. Disclaimer: Ito pong larawan ay kuha sa Barangay Tumana. Maaaring iba ang water level sa ibang karatig barangay.","32","32","5","1445154712000","https://www.facebook.com/photo.php?fbid=1698718343695602&set=a.489108613376908&type=3"
"No photo description available.","1698728820361221","photo","https://www.facebook.com/photo/?fbid=1698728820361221&set=a.489108613376908","100068333209025","Marikeño","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/747736567_1324725309815230_2990269506818081412_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=109&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=1sD2F5x8W-MQ7kNvwGu817y&_nc_oc=Adpe7EbS10c_LGTMNLmDTWsseKGUvESBGD-mmbqS_y4NSA8ye7vTSySUtr6uSQAz6es&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=xFZeeAGHuze_hlN_degjuA&_nc_ss=7c2a8&oh=00_AQCA2c6yUHXVxwhdAx8HQJytLvi6omQwaEyjS4QiLthOhQ&oe=6A5FF2DA","https://www.facebook.com/marikeno","0","1698728820361221","Sanay na ata ang mga kababayan nating ito na nakatira sa tabing ilog sa baha na kanilang nararanasan taun-taon. Aba, nandiyan na ang tubig sa pintuan nila, hindi pa rin sila natitinag.","32","32","6","1445159182000","https://www.facebook.com/photo.php?fbid=1698728820361221&set=a.489108613376908&type=3"
,,,,"100068333209025","Marikeño","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/747736567_1324725309815230_2990269506818081412_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=109&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=1sD2F5x8W-MQ7kNvwGu817y&_nc_oc=Adpe7EbS10c_LGTMNLmDTWsseKGUvESBGD-mmbqS_y4NSA8ye7vTSySUtr6uSQAz6es&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=xFZeeAGHuze_hlN_degjuA&_nc_ss=7c2a8&oh=00_AQCA2c6yUHXVxwhdAx8HQJytLvi6omQwaEyjS4QiLthOhQ&oe=6A5FF2DA","https://www.facebook.com/marikeno","1","1046744735360087","","13","13","0","1445153911000","https://www.facebook.com/groups/TagaNANGKAMarikinaKaKung/permalink/1046744735360087/"
,,,,"100068333209025","Marikeño","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/747736567_1324725309815230_2990269506818081412_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=109&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=1sD2F5x8W-MQ7kNvwGu817y&_nc_oc=Adpe7EbS10c_LGTMNLmDTWsseKGUvESBGD-mmbqS_y4NSA8ye7vTSySUtr6uSQAz6es&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=xFZeeAGHuze_hlN_degjuA&_nc_ss=7c2a8&oh=00_AQCA2c6yUHXVxwhdAx8HQJytLvi6omQwaEyjS4QiLthOhQ&oe=6A5FF2DA","https://www.facebook.com/marikeno","1","10205138376044775","","13","13","0","1445153910000","https://www.facebook.com/groups/TagaNANGKAMarikinaKaKung/posts/1046744735360087/"
,,,,"1297309868","Thoc Manalastas","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/740063945_10234025120711722_5789674438317573261_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx874x877&ctp=s24x24&_nc_cat=107&ccb=1-7&_nc_sid=e99d92&_nc_ohc=tfh5gxasPikQ7kNvwG9KY6a&_nc_oc=Adrw8wzOUwaBscaI1xJczd1tBoZIiYKa26fK5InQRl9Czma0llYa66_BA04Y_fyUoVs&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=8eJ7IXRyNAR4l8dYFctdfg&_nc_ss=7c2a8&oh=00_AQB4mYIdf73hvWPXSyND5Ju-d4yDoJl9tkNiX7iT8IGWvg&oe=6A5FF85E","https://www.facebook.com/khalel44","0","1228598580499056","",,"0","0","1445194319000","https://www.facebook.com/groups/hondaclubofthephilippines/permalink/1228598580499056/"
