"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/haha","reactions/like","reactions/love","reactionsCount","sharesCount","timestamp","url"
,,,,,,,,,,,,,,,,,,,,"100044332694339","CNBLUEPhilippines","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/411088329_924152902405791_5022335618211348729_n.jpg?stp=c0.71.564.563a_cp0_dst-jpg_tt6&cstp=mx564x563&ctp=s40x40&_nc_cat=105&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=4AtRNTSWwAgQ7kNvwG5vISH&_nc_oc=AdpeH2xYa502ALvwGxujXpFdd8ODm4RZCfLvub8weShE5ifBnOPYjNXik6_hOhEVvNg&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=8OrVr2ThEnNmBhN32Oap4g&_nc_ss=7c2a8&oh=00_AQBqNYOUBV60bAH0rkWfm2fOh1Vg4aJtgvi4vopF0ZlNBA&oe=6A602229","https://www.facebook.com/CNBLUE.BOICEPHILIPPINES","26","10152421609676313","Boices, wala pong baha sa Araneta Coliseum at tuloy ang concert, 8 pm. Ingat po sa byahe. Fighting! ^_^",,"359",,"359","7","1411117266000","https://www.facebook.com/CNBLUE.BOICEPHILIPPINES/posts/pfbid0B9F96xxBM147DEcWBHb3VgVByvmXEM7SfNC76YGPD8GkChjKBryueRyuT6wRAFJSl"
,,,,,,,,,,,,,,,,,,,,"100064850823980","Pilipinas Today PH","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/514414359_1220094526828897_542317925766984366_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx769x769&ctp=s40x40&_nc_cat=102&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=TR69i9GScyIQ7kNvwHFvalK&_nc_oc=AdqjDvGR1jUtIxu_ZUe0Dr4nvNk41c1lWZyA7h83BQgS-G83gB86y5YpndG2ALwBH_U&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=8OrVr2ThEnNmBhN32Oap4g&_nc_ss=7c2a8&oh=00_AQA7sEjAgQUtD5MXYa8ErlPrvEE4olul7i-dFwyG7ZBidg&oe=6A601EEC","https://www.facebook.com/pilipinastodaycalabarzon","9","649864138445181","EXO kapag baha...

Kris: Mababa palang yan, hanggang tuhod!
Chanyeol: Ako din, hanggang tuhod palang.
Sehun: Hindi naman tayo lulubog.
Suho: 탕이나 니요

Mahusay xD 👏👏👏

Admin Seyunna /SHINee/",,"197",,"197","10","1411136396000","https://www.facebook.com/pilipinastodaycalabarzon/posts/pfbid0pKpLnHLqhUNPoAs3uCiatNft1zVA8rFRW4dt3psTaRaLZNHBTeq9aD25p1bkK6Stl"
,,,,,,,,,,,,,,,,,,,,"100071521825693","FlipTop Memes","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/309379170_194000979660628_6042161633377141372_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx180x180&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=lXujqD1KqyUQ7kNvwFtcofU&_nc_oc=AdropiWAPQ88PNKb0XSNMOSa5hS_TNo9HKypeB2ZSiF53WZLKhgha24cEtA9tty9McA&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=0gz1b2Xn_2Yx_55SMXccmA&_nc_ss=7c2a8&oh=00_AQDDUHsPg953fB_diAwlQQcPe2JU51zN4AGAe6h-VtZcPQ&oe=6A60233A","https://www.facebook.com/FlipTopMemesOfficial","2","706508546095819","Kamusta na kayo dyan? Mataas pa ba ang baha? Ingaaat! #MarioPH",,"59",,"59","0","1411132015000","https://www.facebook.com/FlipTopMemesOfficial/posts/pfbid02dTzyoocCgXPNsBXPZLx31nExxbYf8AaRbhsXDAdNaXu8hZsb3K8hpawgajZFWhdul"
,,,,,,,,,,,,,,,,,,,,"100044347723189","BEKIMON","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/641544534_1488459345975642_4448675415878535854_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=102&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Muiz75O1uD4Q7kNvwHGHfe5&_nc_oc=AdpUMFxIaF2Y1W7esQo4zAVNTh9-scAFz5m_SBrwtENXXiI0ywisZjYXTAf2mg7792E&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=0gz1b2Xn_2Yx_55SMXccmA&_nc_ss=7c2a8&oh=00_AQAI64XblJ3h3BKyVqV0PgdewVS1BC5WRevFNtuyo_Rmlw&oe=6A601AAE","https://www.facebook.com/akosibekimon","2","783344255041120","Wala sanang baha sa Pilipinas kung ang bawat patak ng ulan ay patak ng Red Horse, Emperador, GSM, Jack Daniels, Black Label... Ingat and pray, mga mahal ko!",,"87",,"87","4","1411111914000","https://www.facebook.com/akosibekimon/posts/pfbid02Z2hfMZ6HHJXgBjShPpgAjfBTrbBdTqXCv244ChcPTH3QxmuMMMHCeRtSxdizzYKHl"
"No photo description available.","850211041657693","photo","https://www.facebook.com/photo/?fbid=850211041657693&set=a.275329800824563",,,,,,,,,,,,,,,,,"100050426352497","Sehun Tagalog Memes","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/464947772_8970344252977624_4927974608341962984_n.jpg?stp=c87.0.1874.1874a_cp0_dst-jpg_tt6&cstp=mx1874x1874&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=XkueTbdO-yMQ7kNvwEsqjN7&_nc_oc=AdrXkP9i8LXm63CP9kFVr7BvGHgkCyh6sF9nzFUJXg1PQ4o-BNmisKj0_Y-P9ZaX3fY&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=0gz1b2Xn_2Yx_55SMXccmA&_nc_ss=7c2a8&oh=00_AQAe3mLBNUHNZqR3bhQNv-NBi5hKc3OQvnoC8mq505PiDQ&oe=6A600508","https://www.facebook.com/FIRST.SehunTagalogMemes","27","850211041657693","guys baha na samin TT^TT  

swimming tayo!!!!!!!!!!!!!!!!!

kasama tong hot na chinito na to

jusmio 

hottie baby ni sehuna ko Lol

Admin:Thehuna_love

cr: owner",,"481",,"481","48","1411119546000","https://www.facebook.com/photo.php?fbid=850211041657693&set=a.275329800824563&type=3"
"No photo description available.","971616579521785","photo","https://www.facebook.com/photo/?fbid=971616579521785&set=a.469427475225723",,,,,,,,,,,,,,,,,"100064754224065","Mommy Myle and Charles","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/539898522_1227646332737163_5832355915886264708_n.jpg?stp=c0.0.720.720a_cp0_dst-jpg_tt6&cstp=mx720x720&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=N06QET2FuqUQ7kNvwFQIqdV&_nc_oc=AdrA4FIc3RBJtYvvaCO-7347TvgqI75F38vWyrkhWu6uymWd3pg1YnouXVN82F8ZT0g&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=0gz1b2Xn_2Yx_55SMXccmA&_nc_ss=7c2a8&oh=00_AQBPaVTbGjFB2iwNoTGZxFa_-VZ5r1cUEpvO393OpNY0WA&oe=6A6028D7","https://www.facebook.com/myleburdickfam","15","971616579521785","BAHA.....SKETBALL

-chong",,"273",,"273","100","1411109869000","https://www.facebook.com/photo.php?fbid=971616579521785&set=a.469427475225723&type=3"
,"763656427007148","video",,,,,,,,,,,,,,,,,,"100064292635388","Tarantadong Pinoy","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/306949760_471280415025042_6853607017221774735_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx400x400&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=gP6cPZ8-hOMQ7kNvwHZARgE&_nc_oc=AdoFrFlx_H7OT_Df5wg1kXcyYKkJZcFPvnvKBVDCr_aMN0y6S02ZPYWpeAqd4EUfRB8&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=0gz1b2Xn_2Yx_55SMXccmA&_nc_ss=7c2a8&oh=00_AQCzTrWOn3O8YGHP4QIVvRQGQUohK_BR3HRR7qojw7BZiA&oe=6A5FF36C","https://www.facebook.com/TarantadongPinoy","4","763656427007148","Ang lakas ng agos ng baha sa may R. Papa Station ng LRT.

#MarioPH #Bagyo #Ulan #Baha #Rain #Typhoon #Flood",,"28",,"28","16","1411132605000","https://www.facebook.com/TarantadongPinoy/videos/763656427007148/"
,"841981189166323","video",,,,,,,,,,,,,,,,,,"100000633480442","Knarf Ramilo Jallorina","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/721701289_27873681808902895_8181478823640300462_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1152x1151&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=1d2534&_nc_ohc=fCw9dy5uUX4Q7kNvwEw8tPE&_nc_oc=Adp5_qYKgIREJHmaD8b_sKSXZnwQRaSB8o5Y75HlzZ5ZfZ9TUdOu9XOb4nz_XpQ05E0&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=3CjHbxox0IgZPq-ADlmmqw&_nc_ss=7c2a8&oh=00_AQD6cU8bQjl3axhI8Djok6xjmMpNj_wPbzpI6mv9lT1WJA&oe=6A5FF209","https://www.facebook.com/frameljallorina","0","841981189166323","baha amin noong papasok na ako sa work!
swimming din pag my timme!:-)",,"7",,"7","1","1411171246000","https://www.facebook.com/frameljallorina/videos/841981189166323/"
"No photo description available.","700721636672128","photo","https://www.facebook.com/photo.php?fbid=700721636672128&set=a.607902615954031&type=3","No photo description available.","700721680005457","photo","https://www.facebook.com/photo.php?fbid=700721680005457&set=a.607902615954031&type=3",,,,,,,,,,,,,"100002028952300","Sonia Sonia","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/239946615_4313990742011848_4942808649422872805_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx800x792&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=e99d92&_nc_ohc=2vgIuj7H3_oQ7kNvwG31EsY&_nc_oc=AdpQjWdEFPaHz-27IJKRPw9pWFoVHCIoxFzidzRDoVXK6JZHanvXREzX4xGYfmNpr6o&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=3CjHbxox0IgZPq-ADlmmqw&_nc_ss=7c2a8&oh=00_AQDrnFERz-d5iuRH6lSz5PixZTb0Xsr5nGFM3sA7cb3ORg&oe=6A601983","https://www.facebook.com/may.cordova.140","3","700721690005456","Ang lalim pa din ng baha s araneta ave.",,,,"0","0","1411116236000","https://www.facebook.com/may.cordova.140/posts/pfbid025oCKrNMrGnFFXDiJEJC6XrZDtH2C7Nww3yaDSwwZksVzD1GLMHRFbGZohTkyx6uLl"
,"705276062858892","video",,,,,,,,,,,,,,,,,,"100064625592351","Kiroro Daily","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/574566077_1241311594699682_1842857108483308198_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1563x1563&ctp=s40x40&_nc_cat=102&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=p7CWr2s4SX0Q7kNvwF6CkOB&_nc_oc=AdrrOSaQSAIDCvuYa4Xu-x3NLEd3aHnG_EESCKfRU4NRS2fY9l1bdDBkUicNq6XWC7w&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=3CjHbxox0IgZPq-ADlmmqw&_nc_ss=7c2a8&oh=00_AQAtEwfA__gOaAG7ch2-qyAc_Ia1BHE1suPA1Kl8GOT70w&oe=6A6027D3","https://www.facebook.com/KiroroDaily","0","705276062858892","Bahang baha sa labas ng bahay namin  kaya lahat po ng meet-ups and delivery cancel po today bukas na po ang resume kung maganda na po ang panahon..keep safe everyone.",,"1",,"1","0","1411092883000","https://www.facebook.com/KiroroDaily/videos/705276062858892/"
,"10202839087441985","video",,,,,,,,,,,,,,,,,,"1345437806","Mhond Asana Rabanal","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/705194273_10233170123858939_7863886118428329439_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1352x1365&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=e99d92&_nc_ohc=plftl1I9UtgQ7kNvwHWf73U&_nc_oc=Ado6knwLEf_IMWB7-ONIV1RXdI1NKIsl_SKUgn7tasAWG98AnjfnIE-TzCEKlTNl8aY&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=3CjHbxox0IgZPq-ADlmmqw&_nc_ss=7c2a8&oh=00_AQA26ArTInolrJ2Rptyo5KRyWmT1ii1nPwc6mVwzpCgXAw&oe=6A5FF9DA","https://www.facebook.com/raymond.rabanal","8","10202839087441985","Baha baha baha :) happy lng :):):)",,"19",,"19","4","1411126355000","https://www.facebook.com/raymond.rabanal/videos/10202839087441985/"
"No photo description available.","350591195101510","photo","https://www.facebook.com/photo.php?fbid=350591195101510&set=a.207757152718249&type=3","No photo description available.","350591205101509","photo","https://www.facebook.com/photo.php?fbid=350591205101509&set=a.207757152718249&type=3","No photo description available.","350591221768174","photo","https://www.facebook.com/photo.php?fbid=350591221768174&set=a.207757152718249&type=3","No photo description available.","350591235101506","photo","https://www.facebook.com/photo.php?fbid=350591235101506&set=a.207757152718249&type=3","No photo description available.","350591265101503","photo","https://www.facebook.com/photo.php?fbid=350591265101503&set=a.207757152718249&type=3","100004518968913","Adrian Paul Urgel","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/323334337_705767387615795_5668858912075347992_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x953&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=e99d92&_nc_ohc=3zknM84d-IkQ7kNvwGtwQ-r&_nc_oc=Adqi26DVxIxOPJzj-712kO-jKWNwghiP-C7UjKVoxMjkXiSc_cfh-svpF1GmBc_8FnY&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=3CjHbxox0IgZPq-ADlmmqw&_nc_ss=7c2a8&oh=00_AQAmkb07R0BePUj1PFgCFUT9ze0DZgXyAaoK-IG4a0SItw&oe=6A600AD2","https://www.facebook.com/adrianpaul.urgel.9","3","350591561768140","Hanggang leeg na baha",,"7",,"7","1","1411099375000","https://www.facebook.com/adrianpaul.urgel.9/posts/pfbid0ixTaQUbNvGQAfweri9Pk664zgBgGvBoczoBUCrTwdnborooAei3iA3kxUCH4Pgvkl"
